"","age","job","marital","education","default","balance","housing","loan","duration","deposit"
"107",47,"technician","married","tertiary","no",151,"yes","no",190,"no"
"108",34,"admin.","married","secondary","no",61,"no","yes",21,"no"
"109",59,"retired","single","secondary","no",30,"yes","no",514,"no"
"110",45,"management","married","tertiary","no",523,"yes","no",849,"no"
"111",29,"services","divorced","secondary","no",31,"yes","no",194,"no"
"112",46,"technician","divorced","secondary","no",79,"no","no",144,"no"
"113",56,"self-employed","married","primary","no",-34,"yes","yes",212,"no"
"114",36,"blue-collar","married","primary","no",448,"yes","no",286,"no"
"115",59,"retired","divorced","primary","no",81,"yes","no",107,"no"
"116",44,"blue-collar","married","secondary","no",144,"yes","no",247,"no"
"117",41,"admin.","married","secondary","no",351,"yes","no",518,"no"
"118",33,"management","single","tertiary","no",-67,"yes","no",364,"no"
"119",59,"management","divorced","tertiary","no",262,"no","no",178,"no"
"120",57,"technician","married","primary","no",0,"no","no",98,"no"
"121",56,"technician","divorced","unknown","no",56,"yes","no",439,"no"
"122",51,"blue-collar","married","secondary","no",26,"yes","no",79,"no"
"123",34,"admin.","married","unknown","no",3,"yes","no",120,"no"
"124",43,"services","married","secondary","no",41,"yes","yes",127,"no"
"125",52,"technician","married","tertiary","no",7,"no","yes",175,"no"
"126",33,"technician","single","secondary","no",105,"yes","no",262,"no"
"127",29,"admin.","single","secondary","no",818,"yes","yes",61,"no"
"128",34,"services","married","secondary","no",-16,"yes","yes",78,"no"
"129",31,"blue-collar","married","secondary","no",0,"yes","no",143,"no"
"130",55,"services","married","secondary","no",2476,"yes","no",579,"yes"
"131",55,"management","married","unknown","no",1185,"no","no",677,"no"
"132",32,"admin.","single","secondary","no",217,"yes","no",345,"no"
"133",38,"technician","single","secondary","no",1685,"yes","no",185,"no"
"134",55,"admin.","single","secondary","no",802,"yes","yes",100,"no"
"135",28,"unemployed","single","tertiary","no",0,"yes","no",125,"no"
"136",23,"blue-collar","married","secondary","no",94,"yes","no",193,"no"
"137",32,"technician","single","secondary","no",0,"yes","no",136,"no"
"138",43,"services","single","unknown","no",0,"no","no",73,"no"
"139",32,"blue-collar","married","secondary","no",517,"yes","no",528,"no"
"140",46,"blue-collar","married","secondary","no",265,"yes","no",541,"no"
"141",53,"housemaid","divorced","primary","no",947,"yes","no",163,"no"
"142",34,"self-employed","single","secondary","no",3,"yes","no",301,"no"
"143",57,"unemployed","married","tertiary","no",42,"no","no",46,"no"
"144",37,"blue-collar","married","secondary","no",37,"yes","no",204,"no"
"145",59,"blue-collar","married","secondary","no",57,"yes","no",98,"no"
"146",33,"services","married","secondary","no",22,"yes","no",71,"no"
"147",56,"blue-collar","divorced","primary","no",8,"yes","no",157,"no"
"148",48,"unemployed","married","secondary","no",293,"yes","no",243,"no"
"149",43,"services","married","primary","no",3,"yes","no",186,"no"
"150",54,"blue-collar","married","primary","no",348,"yes","no",579,"no"
"151",51,"blue-collar","married","unknown","no",-19,"yes","no",163,"no"
"152",26,"student","single","secondary","no",0,"yes","no",610,"no"
"153",40,"management","married","tertiary","no",-4,"yes","no",2033,"no"
"154",39,"management","married","secondary","no",18,"yes","no",85,"no"
"155",50,"technician","married","primary","no",139,"no","no",114,"no"
"156",41,"services","married","secondary","no",0,"yes","no",114,"no"
"157",51,"blue-collar","married","unknown","no",1883,"yes","no",57,"no"
"158",60,"retired","divorced","secondary","no",216,"yes","no",238,"no"
"159",52,"blue-collar","married","secondary","no",782,"yes","no",93,"no"
"160",48,"blue-collar","married","secondary","no",904,"yes","no",128,"no"
"161",48,"services","married","unknown","no",1705,"yes","no",107,"no"
"162",39,"technician","single","tertiary","no",47,"yes","no",181,"no"
"163",47,"services","single","secondary","no",176,"yes","no",303,"no"
"164",40,"blue-collar","married","secondary","no",1225,"yes","no",558,"no"
"165",45,"technician","married","secondary","no",86,"yes","no",270,"no"
"166",26,"admin.","single","secondary","no",82,"yes","no",228,"no"
"167",52,"management","married","tertiary","no",271,"yes","no",99,"no"
"168",54,"technician","married","secondary","no",1378,"yes","no",240,"no"
"169",54,"admin.","married","tertiary","no",184,"no","no",673,"yes"
"170",50,"blue-collar","married","primary","no",0,"no","no",233,"no"
"171",35,"blue-collar","married","secondary","no",0,"yes","no",1056,"no"
"172",44,"services","married","secondary","no",1357,"yes","yes",250,"no"
"173",53,"entrepreneur","married","unknown","no",19,"yes","no",252,"no"
"174",35,"retired","single","primary","no",434,"no","no",138,"no"
"175",60,"admin.","divorced","secondary","no",92,"yes","no",130,"no"
"176",53,"admin.","divorced","secondary","no",1151,"yes","no",412,"no"
"177",48,"unemployed","married","secondary","no",41,"yes","no",179,"no"
"178",34,"technician","married","secondary","no",51,"yes","no",19,"no"
"179",54,"services","married","secondary","no",214,"yes","no",458,"no"
"180",51,"management","married","secondary","no",1161,"yes","no",717,"no"
"181",31,"services","married","tertiary","no",37,"yes","no",313,"no"
"182",35,"technician","divorced","secondary","no",787,"yes","no",683,"no"
"183",35,"services","married","secondary","no",59,"yes","no",1077,"no"
"184",38,"technician","married","secondary","no",253,"yes","no",416,"no"
"185",36,"admin.","married","tertiary","no",211,"yes","no",146,"no"
"186",58,"retired","married","primary","no",235,"yes","no",167,"no"
"187",40,"services","divorced","unknown","no",4384,"yes","no",315,"no"
"188",54,"management","married","secondary","no",4080,"no","no",140,"no"
"189",34,"blue-collar","single","secondary","no",53,"yes","yes",346,"no"
"190",31,"management","single","tertiary","no",0,"yes","no",562,"no"
"191",51,"retired","married","secondary","no",2127,"yes","no",172,"no"
"192",33,"management","married","tertiary","no",377,"yes","no",217,"no"
"193",55,"management","married","tertiary","no",73,"yes","no",142,"no"
"194",42,"admin.","married","secondary","no",445,"yes","no",67,"no"
"195",34,"blue-collar","married","secondary","no",243,"yes","no",291,"no"
"196",33,"blue-collar","single","secondary","no",307,"yes","no",309,"no"
"197",38,"services","married","secondary","no",155,"yes","no",248,"no"
"198",50,"technician","divorced","tertiary","no",173,"no","yes",98,"no"
"199",43,"management","married","tertiary","no",400,"yes","no",256,"no"
"200",61,"blue-collar","divorced","primary","no",1428,"yes","no",82,"no"
"201",47,"admin.","married","secondary","no",219,"yes","no",577,"no"
"202",48,"self-employed","married","tertiary","no",7,"yes","no",286,"no"
"203",44,"blue-collar","married","secondary","no",575,"yes","no",477,"no"
"204",35,"student","single","unknown","no",298,"yes","no",611,"no"
"205",35,"services","married","secondary","no",0,"yes","no",471,"no"
"206",50,"services","married","secondary","no",5699,"yes","no",381,"no"
"207",41,"management","married","tertiary","no",176,"yes","yes",42,"no"
"208",41,"management","married","tertiary","no",517,"yes","no",251,"no"
"209",39,"services","single","unknown","no",257,"yes","no",408,"no"
"210",42,"retired","married","secondary","no",56,"yes","no",215,"no"
"211",38,"blue-collar","married","secondary","no",-390,"yes","no",287,"no"
"212",53,"retired","married","secondary","no",330,"yes","no",216,"no"
"213",59,"housemaid","divorced","primary","no",195,"no","no",366,"no"
"214",36,"services","married","secondary","no",301,"yes","no",210,"no"
"215",54,"blue-collar","married","primary","no",-41,"yes","no",288,"no"
"216",40,"technician","married","tertiary","no",483,"yes","no",168,"no"
"217",47,"unknown","married","unknown","no",28,"no","no",338,"no"
"218",53,"unemployed","married","unknown","no",13,"no","no",410,"no"
"219",46,"housemaid","married","primary","no",965,"no","no",177,"no"
"220",39,"management","married","tertiary","no",378,"yes","yes",127,"no"
"221",40,"unemployed","married","secondary","no",219,"yes","no",357,"no"
"222",28,"blue-collar","married","primary","no",324,"yes","no",175,"no"
"223",35,"entrepreneur","divorced","secondary","no",-69,"yes","no",300,"no"
"224",55,"retired","married","secondary","no",0,"no","yes",136,"no"
"225",43,"technician","divorced","unknown","no",205,"yes","no",1419,"no"
"226",48,"blue-collar","married","primary","no",278,"yes","no",125,"no"
"227",58,"management","married","unknown","no",1065,"yes","no",213,"no"
"228",33,"management","single","tertiary","no",34,"yes","no",27,"no"
"229",36,"blue-collar","married","unknown","no",1033,"no","no",238,"no"
"230",53,"services","divorced","secondary","no",1467,"yes","no",124,"no"
"231",47,"blue-collar","married","primary","no",-12,"yes","no",18,"no"
"232",31,"services","married","secondary","no",388,"yes","no",730,"no"
"233",57,"entrepreneur","married","secondary","no",294,"yes","no",746,"no"
"234",53,"blue-collar","married","unknown","no",1827,"no","no",121,"no"
"235",55,"blue-collar","married","primary","no",627,"yes","no",247,"no"
"236",45,"blue-collar","married","primary","no",25,"yes","no",40,"no"
"237",53,"admin.","divorced","secondary","no",315,"yes","no",181,"no"
"238",37,"blue-collar","married","primary","no",0,"yes","no",79,"no"
"239",44,"admin.","divorced","secondary","no",66,"yes","no",206,"no"
"240",49,"blue-collar","divorced","primary","no",-9,"yes","yes",389,"no"
"241",46,"technician","married","secondary","no",349,"yes","yes",127,"no"
"242",43,"entrepreneur","married","unknown","no",100,"yes","no",702,"no"
"243",38,"admin.","married","secondary","no",0,"no","no",151,"no"
"244",43,"technician","married","secondary","no",434,"yes","no",117,"no"
"245",49,"management","married","tertiary","no",3237,"yes","no",232,"no"
"246",42,"management","married","unknown","no",275,"no","no",408,"no"
"247",22,"blue-collar","single","secondary","no",0,"yes","no",179,"no"
"248",40,"management","married","tertiary","no",207,"yes","no",39,"no"
"249",39,"blue-collar","married","secondary","no",483,"yes","no",282,"no"
"250",51,"services","married","secondary","no",2248,"yes","no",714,"no"
"251",49,"admin.","married","secondary","no",428,"yes","no",50,"no"
"252",53,"blue-collar","married","secondary","no",0,"yes","yes",181,"no"
"253",34,"services","single","secondary","no",0,"yes","no",142,"no"
"254",33,"technician","divorced","secondary","no",140,"yes","no",227,"no"
"255",50,"management","single","tertiary","no",297,"yes","no",119,"no"
"256",39,"blue-collar","married","primary","no",279,"yes","no",361,"no"
"257",59,"entrepreneur","divorced","secondary","no",901,"yes","no",73,"no"
"258",30,"technician","single","secondary","no",2573,"yes","no",67,"no"
"259",36,"services","married","secondary","no",143,"yes","yes",350,"no"
"260",40,"blue-collar","married","secondary","no",475,"yes","no",332,"no"
"261",53,"blue-collar","married","secondary","no",70,"yes","no",611,"no"
"262",34,"management","single","tertiary","no",318,"yes","no",113,"no"
"263",37,"technician","married","secondary","no",275,"yes","no",132,"no"
"264",42,"management","divorced","tertiary","no",742,"yes","no",58,"no"
"265",41,"entrepreneur","married","primary","no",236,"yes","no",151,"no"
"266",30,"student","single","tertiary","no",25,"yes","no",89,"no"
"267",37,"management","single","tertiary","no",600,"yes","no",152,"no"
"268",39,"admin.","divorced","secondary","no",-349,"yes","no",611,"no"
"269",41,"blue-collar","married","primary","no",183,"yes","yes",110,"no"
"270",40,"blue-collar","married","primary","no",0,"yes","no",463,"no"
"271",42,"management","single","tertiary","no",0,"yes","yes",562,"yes"
"272",40,"blue-collar","divorced","primary","no",0,"yes","no",962,"no"
"273",57,"technician","married","secondary","no",1078,"yes","no",10,"no"
"274",56,"entrepreneur","divorced","secondary","no",155,"no","no",118,"no"
"275",37,"admin.","married","secondary","no",190,"yes","no",92,"no"
"276",59,"retired","married","secondary","no",319,"yes","no",143,"no"
"277",39,"services","divorced","secondary","no",-185,"yes","no",189,"no"
"278",49,"services","married","secondary","no",47,"no","no",234,"no"
"279",38,"services","single","secondary","no",570,"yes","no",75,"no"
"280",36,"self-employed","married","tertiary","no",19,"no","no",189,"no"
"281",50,"blue-collar","married","primary","no",61,"yes","no",621,"no"
"282",41,"admin.","married","secondary","no",-62,"yes","yes",55,"no"
"283",54,"technician","married","tertiary","no",258,"no","no",310,"no"
"284",58,"blue-collar","married","primary","no",76,"yes","no",156,"no"
"285",30,"blue-collar","single","secondary","no",0,"yes","no",5,"no"
"286",33,"admin.","single","secondary","no",352,"yes","no",225,"no"
"287",47,"admin.","married","secondary","no",368,"yes","no",125,"no"
"288",50,"technician","single","tertiary","no",339,"yes","no",2,"no"
"289",32,"blue-collar","married","secondary","no",1331,"yes","no",286,"no"
"290",40,"self-employed","married","secondary","no",672,"yes","no",164,"no"
"291",37,"management","married","tertiary","no",58,"yes","no",98,"no"
"292",54,"technician","single","unknown","no",447,"yes","no",742,"no"
"293",24,"student","single","secondary","no",423,"yes","no",226,"no"
"294",54,"management","married","tertiary","no",0,"no","no",120,"no"
"295",34,"technician","married","secondary","no",19,"yes","no",362,"no"
"296",56,"technician","divorced","primary","no",13,"yes","no",357,"no"
"297",31,"blue-collar","single","secondary","no",3,"yes","no",200,"no"
"298",24,"student","single","secondary","no",82,"yes","no",204,"no"
"299",42,"blue-collar","divorced","primary","no",28,"yes","no",126,"no"
"300",57,"technician","married","secondary","no",792,"yes","no",65,"no"
"301",42,"blue-collar","married","unknown","no",408,"yes","no",107,"no"
"302",51,"admin.","married","secondary","no",531,"yes","no",267,"no"
"303",57,"retired","married","secondary","no",211,"yes","no",248,"no"
"304",36,"services","single","secondary","no",62,"yes","no",215,"no"
"305",53,"services","married","unknown","no",257,"yes","no",209,"no"
"306",50,"technician","married","secondary","no",1234,"yes","no",205,"no"
"307",54,"management","married","tertiary","no",313,"yes","no",83,"no"
"308",55,"blue-collar","married","secondary","no",89,"yes","no",106,"no"
"309",44,"blue-collar","married","secondary","no",129,"yes","yes",189,"no"
"310",43,"management","married","unknown","no",0,"yes","no",105,"no"
"311",56,"admin.","married","secondary","no",353,"yes","no",106,"no"
"312",54,"technician","married","unknown","no",851,"yes","no",108,"no"
"313",55,"services","divorced","primary","no",96,"yes","yes",311,"no"
"314",37,"services","divorced","secondary","no",398,"yes","yes",214,"no"
"315",33,"admin.","single","tertiary","no",193,"no","no",132,"no"
"316",46,"admin.","married","secondary","no",-358,"yes","no",358,"no"
"317",36,"blue-collar","married","secondary","no",539,"yes","yes",453,"no"
"318",51,"technician","single","secondary","no",0,"yes","no",364,"no"
"319",40,"retired","single","primary","no",0,"no","no",136,"no"
"320",42,"blue-collar","married","secondary","no",490,"yes","no",386,"no"
"321",51,"blue-collar","married","secondary","no",0,"yes","no",173,"no"
"322",49,"blue-collar","married","unknown","no",403,"yes","no",241,"no"
"323",48,"management","married","secondary","no",161,"yes","no",224,"no"
"324",32,"technician","divorced","tertiary","no",2558,"no","no",148,"no"
"325",31,"admin.","single","secondary","no",98,"yes","no",196,"no"
"326",55,"management","single","tertiary","no",115,"no","no",111,"no"
"327",40,"blue-collar","single","secondary","no",436,"yes","no",231,"no"
"328",47,"technician","married","tertiary","no",831,"yes","no",316,"no"
"329",57,"technician","married","unknown","no",206,"yes","no",216,"no"
"330",41,"blue-collar","married","secondary","no",290,"yes","no",240,"no"
"331",48,"blue-collar","married","secondary","no",1,"no","no",669,"no"
"332",42,"blue-collar","married","unknown","no",57,"yes","no",425,"no"
"333",30,"blue-collar","single","secondary","no",-457,"yes","no",143,"no"
"334",58,"management","single","tertiary","no",1387,"yes","no",174,"no"
"335",45,"management","divorced","tertiary","no",24598,"yes","no",313,"no"
"336",49,"blue-collar","married","secondary","no",30,"yes","no",135,"no"
"337",42,"admin.","single","secondary","no",1022,"yes","no",146,"no"
"338",53,"technician","married","secondary","no",56,"yes","yes",152,"no"
"339",51,"admin.","single","secondary","yes",-2,"no","no",402,"no"
"340",32,"services","single","secondary","no",121,"yes","no",213,"no"
"341",41,"blue-collar","single","secondary","no",842,"yes","no",144,"no"
"342",43,"management","divorced","secondary","no",693,"yes","no",124,"no"
"343",40,"blue-collar","divorced","secondary","no",-333,"yes","no",183,"no"
"344",50,"blue-collar","married","primary","no",1533,"yes","no",325,"no"
"345",34,"management","married","tertiary","no",46,"yes","no",39,"no"
"346",53,"services","married","unknown","no",18,"no","no",503,"no"
"347",45,"technician","married","secondary","no",44,"yes","no",95,"no"
"348",39,"blue-collar","married","primary","no",-100,"yes","no",680,"no"
"349",44,"services","married","tertiary","no",510,"yes","no",421,"no"
"350",55,"management","married","tertiary","no",685,"yes","no",174,"no"
"351",46,"management","single","tertiary","no",187,"yes","no",113,"no"
"352",45,"blue-collar","married","secondary","no",66,"yes","no",808,"no"
"353",34,"admin.","married","secondary","no",560,"yes","no",198,"no"
"354",36,"blue-collar","married","secondary","no",0,"yes","no",195,"no"
"355",59,"unknown","divorced","unknown","no",27,"no","no",347,"no"
"356",31,"admin.","single","secondary","no",12,"yes","no",208,"no"
"357",44,"blue-collar","single","secondary","no",34,"yes","no",404,"no"
"358",33,"entrepreneur","single","tertiary","no",1068,"yes","no",396,"no"
"359",40,"blue-collar","married","secondary","no",211,"yes","no",216,"no"
"360",46,"admin.","single","tertiary","no",377,"yes","no",98,"no"
"361",48,"management","married","tertiary","no",263,"yes","no",350,"no"
"362",42,"services","married","secondary","no",1263,"yes","no",114,"no"
"363",27,"services","married","secondary","no",8,"yes","no",88,"no"
"364",48,"admin.","married","secondary","no",126,"yes","yes",379,"no"
"365",59,"admin.","married","secondary","no",230,"yes","no",190,"no"
"366",46,"technician","married","tertiary","no",841,"yes","no",158,"no"
"367",38,"admin.","divorced","secondary","no",308,"yes","no",102,"no"
"368",43,"management","divorced","tertiary","no",1,"yes","no",306,"no"
"369",38,"admin.","divorced","tertiary","no",86,"yes","no",218,"no"
"370",23,"student","single","secondary","no",157,"yes","no",54,"no"
"371",34,"services","married","secondary","no",22,"yes","no",344,"no"
"372",38,"admin.","married","secondary","no",46,"yes","yes",195,"no"
"373",37,"blue-collar","married","secondary","no",1293,"no","no",652,"no"
"374",25,"admin.","single","secondary","no",122,"yes","no",286,"no"
"375",48,"blue-collar","married","unknown","no",131,"yes","no",189,"no"
"376",49,"blue-collar","single","secondary","no",143,"yes","no",83,"no"
"377",38,"admin.","single","secondary","no",393,"no","no",184,"no"
"378",43,"blue-collar","married","primary","no",98,"yes","no",235,"no"
"379",33,"management","married","tertiary","no",0,"yes","no",290,"no"
"380",55,"blue-collar","married","secondary","no",224,"yes","no",232,"no"
"381",38,"blue-collar","married","secondary","no",757,"yes","no",133,"no"
"382",49,"services","married","secondary","no",245,"yes","yes",318,"no"
"383",40,"management","married","secondary","no",8486,"no","no",260,"no"
"384",43,"admin.","married","unknown","no",350,"no","no",437,"no"
"385",38,"blue-collar","married","secondary","no",20,"yes","no",402,"no"
"386",58,"services","married","secondary","no",1667,"yes","yes",85,"no"
"387",57,"technician","married","unknown","no",345,"yes","no",125,"no"
"388",32,"unemployed","married","secondary","no",10,"yes","no",501,"no"
"389",56,"management","married","tertiary","no",830,"yes","yes",1201,"yes"
"390",58,"blue-collar","divorced","unknown","no",29,"yes","no",253,"no"
"391",60,"retired","divorced","secondary","no",545,"yes","no",1030,"yes"
"392",37,"technician","married","tertiary","no",8730,"yes","no",149,"no"
"393",46,"technician","divorced","tertiary","no",477,"yes","no",114,"no"
"394",27,"admin.","married","secondary","no",4,"yes","no",243,"no"
"395",43,"blue-collar","married","secondary","no",1205,"yes","no",769,"no"
"396",32,"technician","single","secondary","no",0,"yes","yes",135,"no"
"397",40,"admin.","single","secondary","no",263,"yes","no",231,"no"
"398",38,"admin.","married","secondary","no",1,"no","no",76,"no"
"399",34,"blue-collar","married","secondary","no",283,"no","yes",199,"no"
"400",47,"blue-collar","married","primary","no",206,"yes","no",152,"no"
"401",42,"housemaid","married","primary","no",17,"yes","no",124,"no"
"402",48,"technician","married","secondary","no",141,"yes","yes",424,"no"
"403",29,"self-employed","single","tertiary","no",16,"yes","no",43,"no"
"404",50,"services","married","secondary","no",206,"yes","no",154,"no"
"405",52,"technician","married","unknown","no",7,"no","no",203,"no"
"406",50,"management","married","tertiary","no",0,"no","no",326,"no"
"407",58,"retired","married","tertiary","no",0,"no","no",393,"no"
"408",46,"blue-collar","divorced","primary","no",1927,"yes","no",241,"no"
"409",38,"technician","married","secondary","no",284,"yes","no",483,"no"
"410",46,"blue-collar","married","secondary","no",1660,"yes","no",259,"no"
"411",32,"services","single","secondary","no",406,"yes","no",227,"no"
"412",51,"blue-collar","married","primary","no",230,"yes","no",673,"no"
"413",39,"admin.","single","secondary","no",-25,"yes","no",576,"no"
"414",48,"admin.","married","secondary","no",182,"yes","no",180,"no"
"415",36,"entrepreneur","married","tertiary","no",1169,"yes","no",168,"no"
"416",34,"admin.","divorced","secondary","no",67,"yes","no",90,"no"
"417",40,"technician","married","secondary","no",77,"no","no",505,"no"
"418",43,"unemployed","married","secondary","no",0,"yes","no",245,"no"
"419",52,"blue-collar","divorced","primary","no",55,"yes","yes",186,"no"
"420",33,"technician","married","secondary","yes",72,"yes","no",623,"no"
"421",49,"management","single","tertiary","no",163,"yes","no",496,"no"
"422",32,"management","single","tertiary","no",151,"yes","no",118,"no"
"423",39,"admin.","single","secondary","no",113,"yes","no",342,"no"
"424",40,"blue-collar","married","secondary","no",0,"yes","no",225,"no"
"425",38,"technician","single","tertiary","no",9,"yes","no",185,"no"
"426",43,"management","married","secondary","no",375,"yes","no",196,"no"
"427",39,"services","married","secondary","no",1142,"yes","no",276,"no"
"428",54,"blue-collar","married","primary","no",2102,"yes","no",76,"no"
"429",38,"technician","single","tertiary","no",4325,"yes","no",87,"no"
