"","median_house_value","longitude","latitude","housing_median_age","population","households","median_income","ocean_proximity","room.per.household","bedroom.per.room","household.size","id"
"76",177500,-122.28,37.81,17,762,439,0.9241,"NEAR BAY",2.81776765375854,0.373484236054972,1.73576309794989,76
"77",102100,-122.28,37.81,36,1236,509,2.4464,"NEAR BAY",5.72495088408644,0.192862045298559,2.42829076620825,77
"78",108300,-122.28,37.81,19,721,207,1.1111,"NEAR BAY",5.83091787439614,0.2013256006628,3.48309178743961,78
"81",162500,-122.28,37.81,17,609,289,1.5,"NEAR BAY",3.19723183391003,0.312770562770563,2.10726643598616,81
"83",112500,-122.28,37.81,52,200,87,1.5208,"NEAR BAY",3.90804597701149,0.285294117647059,2.29885057471264,83
"85",118800,-122.28,37.81,35,467,169,1.8088,"NEAR BAY",5.6094674556213,0.194092827004219,2.76331360946746,85
"87",118800,-122.27,37.81,40,582,380,0.977,"NEAR BAY",2.31578947368421,0.5125,1.53157894736842,87
"88",162500,-122.27,37.81,10,546,330,0.76,"NEAR BAY",2.65151515151515,0.397714285714286,1.65454545454545,88
"89",137500,-122.27,37.8,10,125,39,0.9722,"NEAR BAY",2.69230769230769,0.4,3.20512820512821,89
"90",500001,-122.27,37.8,52,396,85,1.2434,"NEAR BAY",2.92941176470588,0.313253012048193,4.65882352941177,90
"91",162500,-122.27,37.8,16,800,362,2.0938,"NEAR BAY",2.74585635359116,0.394366197183099,2.20994475138122,91
"95",179200,-122.27,37.8,39,1327,467,1.8477,"NEAR BAY",3.67237687366167,0.363265306122449,2.84154175588865,95
"97",183800,-122.26,37.82,31,2048,1180,2.8345,"NEAR BAY",3.89491525423729,0.289599651871192,1.73559322033898,97
"98",125000,-122.26,37.81,29,202,91,2.0062,"NEAR BAY",3.68131868131868,0.319402985074627,2.21978021978022,98
"99",170000,-122.26,37.82,22,2024,1250,1.2185,"NEAR BAY",2.9456,0.34492123845736,1.6192,99
"100",193100,-122.26,37.82,37,1838,980,2.6104,"NEAR BAY",3.70714285714286,0.298651252408478,1.87551020408163,100
"104",350000,-122.25,37.81,52,895,613,2.5795,"NEAR BAY",3.51549755301794,0.325290023201856,1.46003262642741,104
"108",259400,-122.25,37.81,52,686,422,3.1691,"NEAR BAY",4.16587677725119,0.261660978384528,1.62559241706161,108
"109",275700,-122.24,37.82,52,1444,718,3.9,"NEAR BAY",4.84818941504178,0.215742602700373,2.01114206128134,109
"113",255000,-122.25,37.82,26,1749,1217,3.0233,"NEAR BAY",3.25308134757601,0.302096489012377,1.43714050944947,113
"115",243100,-122.25,37.83,35,675,422,3.4722,"NEAR BAY",3.82227488151659,0.265344079355239,1.59952606635071,115
"116",231600,-122.25,37.83,52,534,291,3.1429,"NEAR BAY",4.39518900343643,0.224394057857701,1.83505154639175,116
"119",327600,-122.23,37.84,50,970,373,5.8596,"NEAR BAY",6.7426273458445,0.158648111332008,2.60053619302949,119
"121",366100,-122.24,37.83,41,794,376,5.956,"NEAR BAY",6.85106382978723,0.157608695652174,2.11170212765957,121
"123",373600,-122.23,37.85,52,1061,403,6.3434,"NEAR BAY",6.94789081885856,0.146785714285714,2.63275434243176,123
"124",389500,-122.24,37.84,52,1177,555,5.1773,"NEAR BAY",6.35855855855856,0.162652309436101,2.12072072072072,124
"125",391100,-122.24,37.85,52,901,367,7.2354,"NEAR BAY",7.11716621253406,0.139739663093415,2.4550408719346,125
"128",292300,-122.21,37.84,44,1358,597,6.0194,"NEAR BAY",5.73534338358459,0.174357476635514,2.27470686767169,128
"132",392600,-122.19,37.84,18,533,194,11.6017,"NEAR BAY",8.33505154639175,0.12987012987013,2.74742268041237,132
"134",333300,-122.21,37.83,34,1627,766,6.8976,"NEAR BAY",6.61227154046997,0.155577492596249,2.12402088772846,134
"136",351200,-122.2,37.83,26,542,211,8.401,"NEAR BAY",7.53080568720379,0.140339836375079,2.56872037914692,136
"138",365900,-122.19,37.82,32,635,263,8.317,"NEAR BAY",6.97718631178707,0.143869209809264,2.41444866920152,138
"139",366700,-122.2,37.82,37,420,176,7.0175,"NEAR BAY",6.98295454545455,0.147274206672091,2.38636363636364,139
"140",362800,-122.2,37.82,39,1265,500,6.3302,"NEAR BAY",7.54,0.141644562334218,2.53,140
"141",483300,-122.18,37.81,30,126,52,6.3624,"NEAR BAY",5.61538461538461,0.13013698630137,2.42307692307692,141
"146",296400,-122.21,37.81,52,510,224,5.2402,"NEAR BAY",6.20089285714286,0.152627789776818,2.27678571428571,146
"149",199600,-122.22,37.8,52,1073,441,3.0298,"NEAR BAY",5.18367346938776,0.202974628171479,2.43310657596372,149
"151",270100,-122.22,37.81,52,756,340,4.072,"NEAR BAY",5.95294117647059,0.167490118577075,2.22352941176471,151
"152",302100,-122.22,37.81,52,1034,521,5.3509,"NEAR BAY",5.65067178502879,0.182065217391304,1.98464491362764,152
"154",314700,-122.23,37.81,52,612,213,4.7708,"NEAR BAY",6.72769953051643,0.159804605722261,2.87323943661972,154
"155",390100,-122.22,37.81,52,1021,380,8.1564,"NEAR BAY",7.70263157894737,0.137341988384011,2.68684210526316,155
"156",410300,-122.23,37.81,52,861,258,8.8793,"NEAR BAY",8.97286821705426,0.126133909287257,3.33720930232558,156
"160",243800,-122.24,37.81,52,918,483,2.7477,"NEAR BAY",4.33333333333333,0.262780697563306,1.90062111801242,160
"161",211500,-122.24,37.8,52,360,175,2.1944,"NEAR BAY",5.07428571428571,0.189189189189189,2.05714285714286,161
"164",218800,-122.25,37.81,46,1373,747,3.225,"NEAR BAY",4.32663989290495,0.25835396039604,1.8380187416332,164
"170",97500,-122.25,37.79,45,1475,460,1.7772,"NEAR BAY",3.88260869565217,0.29451287793953,3.20652173913043,170
"171",125000,-122.25,37.79,50,742,196,2.6458,"NEAR BAY",3.20918367346939,0.298887122416534,3.78571428571429,171
"173",116700,-122.25,37.8,36,1645,543,2.2303,"NEAR BAY",3.0902394106814,0.361144219308701,3.02946593001842,173
"174",151800,-122.25,37.8,43,1710,644,1.6504,"NEAR BAY",3.63975155279503,0.276023890784983,2.65527950310559,174
"175",127000,-122.24,37.8,52,731,228,2.2697,"NEAR BAY",4.36842105263158,0.228915662650602,3.20614035087719,175
"176",128600,-122.24,37.8,52,1118,347,2.1563,"NEAR BAY",4.5850144092219,0.234443746071653,3.22190201729107,176
"177",140600,-122.24,37.8,52,1006,335,2.1348,"NEAR BAY",4.73432835820896,0.250945775535939,3.00298507462687,177
"181",169300,-122.24,37.8,49,1487,677,2.5238,"NEAR BAY",4.19202363367799,0.263918252290345,2.19645494830133,181
"182",126600,-122.23,37.8,52,488,186,1.9375,"NEAR BAY",4.20967741935484,0.234993614303959,2.62365591397849,182
"186",112800,-122.23,37.79,43,4367,1231,2.1917,"NEAR BAY",4.84402924451665,0.225389904410532,3.54752233956133,186
"187",107900,-122.23,37.79,52,1659,412,2.9357,"NEAR BAY",4.32766990291262,0.221536735838474,4.02669902912621,187
"189",105500,-122.24,37.79,39,1464,389,2.1638,"NEAR BAY",3.77634961439589,0.293396868618108,3.76349614395887,189
"190",95500,-122.24,37.79,47,1237,303,2.125,"NEAR BAY",4.52805280528053,0.287900874635569,4.08250825082508,190
"191",116100,-122.24,37.79,52,647,168,3.375,"NEAR BAY",4.01190476190476,0.267062314540059,3.85119047619048,191
"192",112200,-122.24,37.79,43,1284,357,2.2542,"NEAR BAY",4.5546218487395,0.231242312423124,3.59663865546218,192
"195",125000,-122.25,37.79,52,846,227,3.625,"NEAR BAY",3.97356828193833,0.262749445676275,3.72687224669604,195
"196",115000,-122.26,37.8,20,1659,676,1.6929,"NEAR BAY",3.5103550295858,0.328276443320691,2.45414201183432,196
"198",96400,-122.22,37.77,52,866,259,2.59,"NEAR BAY",4.38996138996139,0.264731750219877,3.34362934362934,198
"203",112500,-122.23,37.78,43,1506,438,1.9338,"NEAR BAY",3.24200913242009,0.332394366197183,3.43835616438356,203
"204",119400,-122.23,37.78,52,1008,255,1.4844,"NEAR BAY",3.86666666666667,0.261663286004057,3.95294117647059,204
"205",118100,-122.23,37.78,44,2813,751,1.6009,"NEAR BAY",3.11584553928096,0.352564102564103,3.745672436751,205
"206",122500,-122.23,37.79,48,1481,343,2.0375,"NEAR BAY",4.94460641399417,0.233490566037736,4.31778425655977,206
"207",106300,-122.23,37.79,49,859,219,2.293,"NEAR BAY",5.36529680365297,0.18468085106383,3.92237442922374,207
"208",132500,-122.22,37.79,37,1608,523,2.1494,"NEAR BAY",4.47992351816444,0.24498506188647,3.07456978967495,208
"210",113300,-122.23,37.79,40,564,184,1.3281,"NEAR BAY",5.05434782608696,0.213978494623656,3.06521739130435,210
"212",164700,-122.22,37.79,52,2273,685,3.9048,"NEAR BAY",4.9985401459854,0.201518691588785,3.31824817518248,212
"213",125000,-122.21,37.79,52,600,195,3.0893,"NEAR BAY",3.90769230769231,0.249343832020997,3.07692307692308,213
"216",141700,-122.22,37.79,38,2167,659,2.7969,"NEAR BAY",4.62670713201821,0.233191210232863,3.28831562974203,216
"218",138800,-122.21,37.79,47,859,292,2.9583,"NEAR BAY",5.28424657534247,0.198963058976021,2.94178082191781,218
"219",139200,-122.21,37.79,34,1517,516,2.8365,"NEAR BAY",4.58139534883721,0.235617597292724,2.93992248062015,219
"220",143800,-122.21,37.79,35,1143,386,2.875,"NEAR BAY",4.52072538860104,0.234383954154728,2.96113989637306,220
"224",217100,-122.2,37.8,52,706,268,4.7721,"NEAR BAY",5.77238805970149,0.18939883645766,2.63432835820896,224
"225",187100,-122.21,37.8,52,1883,706,3.4861,"NEAR BAY",4.98441926345609,0.202046035805627,2.6671388101983,225
"226",239600,-122.2,37.8,41,804,340,5.1184,"NEAR BAY",6.08823529411765,0.171014492753623,2.36470588235294,226
"227",229700,-122.21,37.8,48,506,252,4.0977,"NEAR BAY",5.24206349206349,0.199091597274792,2.00793650793651,227
"228",257300,-122.19,37.8,48,610,238,4.744,"NEAR BAY",7.11764705882353,0.152892561983471,2.56302521008403,228
"229",246900,-122.19,37.8,46,768,332,4.2727,"NEAR BAY",5.83734939759036,0.175954592363261,2.31325301204819,229
"232",203300,-122.2,37.8,46,1059,399,3.8487,"NEAR BAY",5.11528822055138,0.1984321411073,2.65413533834586,232
"233",263400,-122.19,37.8,52,637,277,4.0114,"NEAR BAY",6.54512635379061,0.149476006618864,2.29963898916967,233
"234",231800,-122.19,37.79,45,1106,454,4.6563,"NEAR BAY",5.98678414096916,0.165930831493745,2.43612334801762,234
"236",126000,-122.2,37.79,35,1009,390,2.3036,"NEAR BAY",4.62051282051282,0.254716981132075,2.58717948717949,236
"237",122000,-122.2,37.79,49,737,210,2.6667,"NEAR BAY",4.2,0.22108843537415,3.50952380952381,237
"239",139400,-122.21,37.79,45,1530,474,2.4167,"NEAR BAY",4.4620253164557,0.252009456264775,3.22784810126582,239
"240",115400,-122.2,37.79,45,1410,480,2.7788,"NEAR BAY",4.21041666666667,0.261256803562593,2.9375,240
"241",137300,-122.21,37.78,46,1390,569,2.7352,"NEAR BAY",3.93497363796134,0.226887003126396,2.44288224956063,241
"242",137000,-122.21,37.78,52,1065,269,1.8472,"NEAR BAY",5.4907063197026,0.2031144211239,3.95910780669145,242
"246",126800,-122.21,37.78,43,1227,407,1.7188,"NEAR BAY",4.18181818181818,0.27027027027027,3.01474201474201,246
"249",102300,-122.22,37.78,50,1807,440,1.7276,"NEAR BAY",4.03636363636364,0.266328828828829,4.10681818181818,249
"251",119100,-122.22,37.78,51,1543,393,2.489,"NEAR BAY",4.16539440203562,0.282834453268173,3.92620865139949,251
"252",80600,-122.21,37.76,52,1085,300,1.7546,"NEAR BAY",4.73333333333333,0.22112676056338,3.61666666666667,252
"254",88800,-122.21,37.77,52,473,149,2.6765,"NEAR BAY",5,0.205369127516779,3.1744966442953,254
"257",1e+05,-122.21,37.77,43,836,277,2.2604,"NEAR BAY",3.67148014440433,0.32251720747296,3.01805054151625,257
"258",92300,-122.19,37.77,42,900,263,1.8039,"NEAR BAY",3.54372623574144,0.272532188841202,3.42205323193916,258
"261",158400,-122.2,37.78,52,1225,423,3.5398,"NEAR BAY",5.43735224586288,0.192608695652174,2.89598108747045,261
"263",129100,-122.2,37.78,50,1128,378,2.5401,"NEAR BAY",4.93915343915344,0.215854311730048,2.98412698412698,263
"264",121400,-122.2,37.77,43,1537,484,2.898,"NEAR BAY",5.02066115702479,0.206584362139918,3.17561983471074,264
"265",102800,-122.21,37.78,44,1240,393,2.3125,"NEAR BAY",4.39949109414758,0.239444765760555,3.15521628498728,265
"268",151200,-122.19,37.77,52,1144,417,3.5114,"NEAR BAY",5.58513189448441,0.19106912838128,2.74340527577938,268
"270",156500,-122.19,37.78,52,984,369,3.22,"NEAR BAY",5.95663956639566,0.180618744313012,2.66666666666667,270
"271",225000,-122.18,37.78,33,575,47,3.875,"NEAR BAY",3.02127659574468,0.21830985915493,12.2340425531915,271
"272",174200,-122.19,37.78,49,496,209,5.2328,"NEAR BAY",5.66028708133971,0.173288250211327,2.37320574162679,272
"273",166900,-122.19,37.78,52,555,190,3.7262,"NEAR BAY",5.63157894736842,0.180373831775701,2.92105263157895,273
"274",163500,-122.2,37.78,45,869,327,4.5893,"NEAR BAY",5.40061162079511,0.187995469988675,2.65749235474006,274
"275",253000,-122.18,37.79,39,236,106,5.2578,"NEAR BAY",5.82075471698113,0.153970826580227,2.22641509433962,275
"276",240700,-122.18,37.79,41,626,214,7.0875,"NEAR BAY",6.59345794392523,0.165131112686038,2.92523364485981,276
"277",208100,-122.18,37.79,46,922,329,3.9712,"NEAR BAY",6.41033434650456,0.183499288762447,2.80243161094225,277
"278",198100,-122.19,37.79,47,582,256,2.9514,"NEAR BAY",4.80078125,0.197721724979658,2.2734375,278
"279",172800,-122.19,37.79,50,546,201,2.6667,"NEAR BAY",4.74626865671642,0.227463312368973,2.71641791044776,279
"287",136700,-122.18,37.78,43,1085,407,3.4205,"NEAR BAY",4.87714987714988,0.221662468513854,2.66584766584767,287
"288",160700,-122.18,37.78,50,713,284,3.2984,"NEAR BAY",5.78169014084507,0.196102314250914,2.51056338028169,288
"289",140600,-122.17,37.78,49,468,181,3.875,"NEAR BAY",4.93370165745856,0.198208286674132,2.58563535911602,289
"291",161900,-122.16,37.77,47,570,218,4.375,"NEAR BAY",5.76146788990826,0.179450929986354,2.61467889908257,291
"297",90600,-122.17,37.76,41,1074,355,1.9356,"NEAR BAY",4.49014084507042,0.230238393977415,3.02535211267606,297
"298",107900,-122.17,37.76,47,965,382,2.1842,"NEAR BAY",5.54450261780105,0.194995278564684,2.5261780104712,298
"299",107000,-122.18,37.76,37,933,320,2.2917,"NEAR BAY",4.921875,0.227301587301587,2.915625,299
"301",89500,-122.18,37.76,50,907,246,1.9479,"NEAR BAY",4.82520325203252,0.219882055602359,3.6869918699187,301
"303",96700,-122.18,37.76,49,1299,451,1.8407,"NEAR BAY",5.11751662971175,0.195840554592721,2.88026607538803,303
"304",97500,-122.18,37.77,27,396,157,2.0786,"NEAR BAY",5.78980891719745,0.25962596259626,2.52229299363057,304
"305",97300,-122.18,37.77,42,877,268,2.8125,"NEAR BAY",4.40298507462687,0.217796610169492,3.27238805970149,305
"306",91200,-122.18,37.76,43,1111,367,1.8913,"NEAR BAY",5.49863760217984,0.202180376610505,3.02724795640327,306
"307",91400,-122.19,37.76,49,790,269,1.7056,"NEAR BAY",5.08550185873606,0.206140350877193,2.9368029739777,307
"308",96200,-122.18,37.77,52,1479,554,2.2768,"NEAR BAY",4.95306859205776,0.199344023323615,2.66967509025271,308
"311",94700,-122.19,37.76,52,1030,350,2.4659,"NEAR BAY",5.78285714285714,0.193181818181818,2.94285714285714,311
"313",89300,-122.19,37.77,41,1412,454,2.0469,"NEAR BAY",4.48458149779736,0.25049115913556,3.11013215859031,313
"315",72500,-122.19,37.76,41,522,159,1.2083,"NEAR BAY",5.79245283018868,0.224755700325733,3.28301886792453,315
"316",74100,-122.19,37.76,45,630,237,1.925,"NEAR BAY",4.19831223628692,0.239195979899497,2.65822784810127,316
"317",70000,-122.2,37.75,36,531,133,1.5809,"NEAR BAY",4.55639097744361,0.217821782178218,3.99248120300752,317
"320",81400,-122.19,37.75,19,1481,520,1.3194,"NEAR BAY",4.24423076923077,0.256003624830086,2.84807692307692,320
"321",81800,-122.19,37.75,28,435,162,0.8012,"NEAR BAY",5.28395061728395,0.220794392523364,2.68518518518519,321
"324",83500,-122.18,37.74,42,380,123,2.3456,"NEAR BAY",4.39837398373984,0.284658040665434,3.08943089430894,324
"325",79700,-122.19,37.73,44,825,244,2.1538,"NEAR BAY",4.36885245901639,0.237335834896811,3.38114754098361,325
"326",83400,-122.19,37.74,43,417,155,2.5139,"NEAR BAY",4.56129032258065,0.207920792079208,2.69032258064516,326
"328",80000,-122.18,37.73,42,646,198,2.9063,"NEAR BAY",4.59090909090909,0.236523652365237,3.26262626262626,328
"330",79700,-122.18,37.73,44,435,136,2.1111,"NEAR BAY",4.02941176470588,0.217153284671533,3.19852941176471,330
"331",82400,-122.18,37.73,42,2736,780,2.455,"NEAR BAY",5.22307692307692,0.21453117329406,3.50769230769231,331
"334",101600,-122.17,37.74,43,494,179,2.4776,"NEAR BAY",4.56983240223464,0.235941320293399,2.75977653631285,334
"341",87100,-122.18,37.75,46,621,195,1.325,"NEAR BAY",4.82564102564103,0.231668437832094,3.18461538461538,341
"342",85100,-122.17,37.75,38,732,259,1.6196,"NEAR BAY",3.83011583011583,0.258662666891283,2.82625482625483,342
"344",82800,-122.19,37.75,36,482,150,1.9167,"NEAR BAY",7.50666666666667,0.233570159857904,3.21333333333333,344
"345",84600,-122.18,37.75,43,652,213,2.069,"NEAR BAY",4.86384976525822,0.224903474903475,3.06103286384977,345
"347",89300,-122.17,37.76,33,999,286,2.5625,"NEAR BAY",4.47552447552448,0.23984375,3.49300699300699,347
"353",91700,-122.16,37.75,38,1516,482,1.5625,"NEAR BAY",5.09751037344398,0.253968253968254,3.14522821576763,353
"356",164300,-122.16,37.76,46,881,302,4.6696,"NEAR BAY",6.04966887417219,0.168035030103996,2.91721854304636,356
"357",155500,-122.16,37.76,36,1438,519,2.4598,"NEAR BAY",5.35838150289017,0.206400575332614,2.77071290944123,357
"358",196900,-122.15,37.76,39,763,270,6.0749,"NEAR BAY",6.75185185185185,0.156884256719693,2.82592592592593,358
"359",279100,-122.14,37.77,27,1297,355,4.8304,"NEAR BAY",6.27887323943662,0.163750560789592,3.65352112676056,359
"361",275400,-122.13,37.76,26,1222,533,5.37,"NEAR BAY",6.12757973733583,0.150336803429271,2.29268292682927,361
"362",250000,-122.12,37.75,33,808,219,6.86,"NEAR BAY",8.26027397260274,0.144278606965174,3.68949771689498,362
"364",195500,-122.14,37.75,36,299,109,4.0313,"NEAR BAY",6.3302752293578,0.152173913043478,2.74311926605505,364
"365",255900,-122.14,37.75,33,579,202,6.8323,"NEAR BAY",6.6039603960396,0.149925037481259,2.86633663366337,365
"366",311100,-122.13,37.75,30,137,50,4.975,"NEAR BAY",8.28,0.130434782608696,2.74,366
"368",248900,-122.13,37.74,41,1476,648,5,"NEAR BAY",6.79012345679012,0.151363636363636,2.27777777777778,368
"369",142900,-122.16,37.75,46,429,154,2.925,"NEAR BAY",6.19480519480519,0.168763102725367,2.78571428571429,369
"371",135800,-122.15,37.75,44,946,331,3.225,"NEAR BAY",5.85498489425982,0.205882352941176,2.85800604229607,371
"372",130600,-122.15,37.74,41,571,191,3.1458,"NEAR BAY",4.48167539267016,0.207943925233645,2.98952879581152,372
"374",111100,-122.16,37.75,44,378,135,2.5568,"NEAR BAY",4.57037037037037,0.212317666126418,2.8,374
"375",122000,-122.15,37.74,43,853,272,3.5083,"NEAR BAY",5.08455882352941,0.19884309472162,3.13602941176471,375
"376",118000,-122.15,37.74,49,764,282,3.3125,"NEAR BAY",4.69858156028369,0.209056603773585,2.70921985815603,376
"377",95200,-122.16,37.75,40,928,261,1.8235,"NEAR BAY",4.70114942528736,0.23960880195599,3.55555555555556,377
"378",94300,-122.16,37.75,35,406,133,3.8047,"NEAR BAY",5.01503759398496,0.209895052473763,3.05263157894737,378
"379",92500,-122.17,37.74,34,824,280,2.2917,"NEAR BAY",4.36785714285714,0.229762878168438,2.94285714285714,379
"380",91800,-122.17,37.75,37,835,259,2.4962,"NEAR BAY",5.32432432432432,0.208121827411168,3.22393822393822,380
"381",109400,-122.16,37.74,43,826,295,4.0417,"NEAR BAY",5.2,0.195567144719687,2.8,381
"383",143400,-122.16,37.74,52,355,144,4.1458,"NEAR BAY",5.35416666666667,0.190661478599222,2.46527777777778,383
"384",98200,-122.16,37.74,47,533,166,2.625,"NEAR BAY",4.96385542168675,0.270631067961165,3.21084337349398,384
"385",103100,-122.16,37.74,44,609,215,2.0227,"NEAR BAY",5.10232558139535,0.217866909753874,2.83255813953488,385
"387",270900,-122.29,37.9,52,594,286,5.338,"NEAR BAY",5.60839160839161,0.163965087281796,2.07692307692308,387
"388",246200,-122.29,37.89,52,870,377,3.4732,"NEAR BAY",5.96286472148541,0.187722419928826,2.30769230769231,388
"389",224200,-122.3,37.9,38,1027,509,3.5125,"NEAR BAY",4.44597249508841,0.23066725585506,2.01768172888016,389
"398",216700,-122.29,37.88,50,523,227,3.8672,"NEAR BAY",5.33480176211454,0.215524360033031,2.30396475770925,398
"401",261300,-122.28,37.88,52,769,334,4.2614,"NEAR BAY",5.52095808383234,0.180043383947939,2.30239520958084,401
"402",232200,-122.29,37.89,52,940,423,5.0551,"NEAR BAY",5.14893617021277,0.193296602387511,2.22222222222222,402
"409",362900,-122.28,37.9,52,779,312,7.1754,"NEAR BAY",7.42948717948718,0.141501294219154,2.49679487179487,409
"410",397000,-122.28,37.9,52,658,244,10.0825,"NEAR BAY",8.20901639344262,0.124812780828757,2.69672131147541,410
"411",346800,-122.28,37.9,52,819,335,4.9083,"NEAR BAY",6.74925373134328,0.145068553737284,2.44477611940298,411
"414",292000,-122.28,37.89,52,722,306,5.4171,"NEAR BAY",6.76470588235294,0.158937198067633,2.35947712418301,414
"415",270900,-122.28,37.89,52,1085,487,4.125,"NEAR BAY",5.37166324435318,0.180810397553517,2.22792607802875,415
"416",371100,-122.27,37.89,52,973,355,7.266,"NEAR BAY",7.43661971830986,0.138636363636364,2.74084507042254,416
"418",371300,-122.26,37.9,37,903,362,7.8336,"NEAR BAY",6.13259668508287,0.150900900900901,2.49447513812155,418
"420",342200,-122.26,37.89,52,1005,462,6.381,"NEAR BAY",6.66233766233766,0.160493827160494,2.17532467532468,420
"421",370900,-122.26,37.89,52,1205,504,6.6828,"NEAR BAY",7.3531746031746,0.14328116567728,2.39087301587302,421
"422",350000,-122.25,37.89,37,987,450,7.5385,"NEAR BAY",6.66666666666667,0.152333333333333,2.19333333333333,422
"426",284900,-122.27,37.88,52,1232,621,4.2813,"NEAR BAY",5.41062801932367,0.192857142857143,1.98389694041868,426
"428",272900,-122.27,37.88,44,989,550,3.0132,"NEAR BAY",4.09454545454545,0.262877442273535,1.79818181818182,428
"429",259600,-122.28,37.88,52,1058,464,4.1429,"NEAR BAY",5.37715517241379,0.196793587174349,2.2801724137931,429
"430",254500,-122.28,37.88,52,506,207,4.1912,"NEAR BAY",5.76328502415459,0.167644593461861,2.44444444444444,430
